CODE;NAAM;NAMESPACE;GERELATEERDMEETOBJECT;GERELATEERDMEETOBJECTROL_ID;WATERTYPE;XCOORD;YCOORD;ZCOORD;REFERENTIEVLAK;MORFOLOGIE;TOEGANKELIJKHEID;MEETNET_HISTORIE;MEETNET_ACTUEEL;FEWSFILTER_HISTORIE;FEWSFILTER_ACTUEEL;PROGRAMMA_HISTORIE;PROGRAMMA_ACTUEEL;BODEMSOORT;GAFIDENT;EAGIDENT;OWMIDENT
RLA105;macrofyten_2014;NL11;;;M6b;114507;488681;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;521;8000-EAG-1;
RLA106;macrofyten_2014;NL11;;;M6b;114922;488681;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;8000;8000-EAG-1;
RLA107;macrofyten_2014;NL11;;;M6b;117488;488716;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;521;8000-EAG-1;
RLA108;macrofyten_2014;NL11;;;M6b;115530;488683;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;8000;8000-EAG-1;
RLA109;macrofyten_2014;NL11;;;M6b;115910;488687;;;lijnvormig;;FYTOPLANKTONABUNDANTIE_MACFTGBD_MACFTNVO;;Evaluatie_KRW;;FYCHEM_HYBI;;Bebouwing;521;8000-EAG-1;
RLA110;macrofyten_2014;NL11;;;M6b;117462;488707;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;8000;8000-EAG-1;
RLA111;macrofyten_2014;NL11;;;M6b;117089;488699;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;521;8000-EAG-1;
RLA112;macrofyten_2014;NL11;;;M6b;116107;488699;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;8000;8000-EAG-1;
OBL122;macrofyten_2014;NL11;;;M10;113108.3542;487622.7775;;;lijnvormig;;MACFTGBD_MACFTNVO;;KRW;;HYBI;;Bebouwing;521;8030-EAG-1;
RLA113;macrofyten_2014;NL11;;;M6b;116909;488701;;;lijnvormig;;MACFTGBD_MACFTNVO;;KRW;;HYBI;;Bebouwing;8000;8000-EAG-1;
