"locatie";"XCOORD";"YCOORD";"EAGIDENT";"trend_beschr";"pvalue";"slope"
"112";"OBL021";114190.5448;487807.5604;"8030-EAG-5";"Ptot blijft gelijk in de tijd op meetlocatie OBL021.";0.663014861052276;0.0215320414568122
"113";"OBP003";119411;488792;"8020-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie OBP003.";0.649367099212028;0.0256775637891195
"114";"OBT001";136518;465784;"3302-EAG-2";"Ptot neemt toe in de tijd op meetlocatie OBT001.";3.36078426815793e-05;0.239545055476434
"115";"OBT006";135140;464797;"3302-EAG-1";"Ptot neemt toe in de tijd op meetlocatie OBT006.";0.000147768070088999;0.216241311258306
"116";"OBT007";134839;464641;"3304-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie OBT007.";0.133275670199569;0.106990734847667
"117";"OBT009";137168;465754;"3302-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie OBT009.";0.107150876949292;0.168216587080155
"118";"OBT010";135015;464847;"3302-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie OBT010.";0.319245876871223;-0.10564395703109
"119";"ODP001";127815;483686;"2300-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie ODP001.";0.120252982275488;-0.0789221786587843
"120";"OSB007";112254;487236;"8040-EAG-1";"Ptot neemt af in de tijd op meetlocatie OSB007.";0.00191690601327953;-0.158968484969466
"121";"OTP002";123379;486035;"2040-EAG-1";"Ptot neemt af in de tijd op meetlocatie OTP002.";0.000472942999432841;-0.198352152708351
"122";"PAH008";134723.8894;459028.8569;"3370-EAG-1";"Ptot neemt af in de tijd op meetlocatie PAH008.";6.59708534742197e-09;-0.291519720933061
"123";"PBP009";129037.6573;466180.2062;"3350-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie PBP009.";0.0965636221863325;-0.0966490835675034
"124";"PBW001";126673;474638;"2570-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie PBW001.";0.0557875543480608;0.101931768552684
"125";"PDB001";117727;466482;"2520-EAG-1";"Ptot neemt af in de tijd op meetlocatie PDB001.";0.00144944729356125;-0.158822871460021
"126";"PDW001";131135;472413;"3240-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie PDW001.";0.476481979230089;0.0367576634356931
"127";"PEB001";118452;472359;"2530-EAG-1";"Ptot neemt af in de tijd op meetlocatie PEB001.";0.00030746911456503;-0.185218344598282
"128";"PGM001";122004;473930;"2540-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie PGM001.";0.89805175870668;-0.00657295998732949
"129";"PGW001";116266;469875;"2500-EAG-6";"Ptot neemt af in de tijd op meetlocatie PGW001.";0.0082689231531583;-0.217589450479859
"130";"PGW006";126016;471109;"2500-EAG-4";NA;NA;NA
"131";"PGW007";125290;470063;"2500-EAG-3";NA;NA;NA
"132";"PHM001";137022;476321;"4230-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie PHM001.";0.799456579326699;0.0129216302077324
"133";"PHM009";137927;475082;"4240-EAG-1";"Ptot neemt toe in de tijd op meetlocatie PHM009.";0.0050633419706764;0.143198978330411
"134";"PKH002";137022;470250;"3230-EAG-6";"Ptot blijft gelijk in de tijd op meetlocatie PKH002.";0.80055644727981;0.0143176726318979
"135";"PKH010";134030;471872;"3230-EAG-3";"Ptot blijft gelijk in de tijd op meetlocatie PKH010.";0.13723717705216;-0.0791816074845524
"136";"PKH011";134994;472226;"3230-EAG-3";"Ptot blijft gelijk in de tijd op meetlocatie PKH011.";0.730211797731609;0.0184780038549275
"137";"PKH020";134075;470101;"3230-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie PKH020.";0.732806413263912;-0.0185136322252873
"138";"PKH035";131747.9484;472795.4275;"3230-EAG-6";"Ptot neemt toe in de tijd op meetlocatie PKH035.";0.00865137679661187;0.177262356324079
"139";"PKH044";135275;473011;"3230-EAG-3";"Ptot blijft gelijk in de tijd op meetlocatie PKH044.";0.125772119878659;0.0834589601709982
"140";"PKH050";132806;471074;"3230-EAG-2";"Ptot blijft gelijk in de tijd op meetlocatie PKH050.";0.308967501258874;0.055508819254976
"141";"PKH055";132806;471074;"3230-EAG-2";"Ptot neemt toe in de tijd op meetlocatie PKH055.";2.70121129092913e-08;0.394919065766649
"142";"PKH070";132806;471074;"3230-EAG-2";"Ptot neemt toe in de tijd op meetlocatie PKH070.";0.00236338891201754;0.205646461351513
"143";"PKH353";132806;471074;"3230-EAG-2";"Ptot neemt toe in de tijd op meetlocatie PKH353.";3.85856874957978e-06;0.331981410170075
"144";"PKH354";132806;471074;"3230-EAG-2";"Ptot neemt toe in de tijd op meetlocatie PKH354.";4.40994694694614e-07;0.364224854884341
"145";"PKH444";136268;470307;"3230-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie PKH444.";0.15609736429178;-0.124829724373748
"146";"PMD013";129566;467618;"3340-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie PMD013.";0.429604355185906;-0.0408490541499248
"147";"PMW024";135019.1017;462563.3908;"3360-EAG-16";"Ptot neemt toe in de tijd op meetlocatie PMW024.";6.40351279357153e-06;0.236361924060663
"148";"PMW025";132631;460737;"3360-EAG-3";"Ptot blijft gelijk in de tijd op meetlocatie PMW025.";0.626739827256368;-0.0236947176134138
