"locatie";"XCOORD";"YCOORD";"EAGIDENT";"trend_beschr";"pvalue";"slope"
"101";"NIJ014";119349;493061;"6100-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie NIJ014.";0.483995661861191;-0.0600333611368563
"102";"NIJ015";119349;493061;"6100-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie NIJ015.";0.531469468914036;-0.0510930303565268
"103";"NKP002";132810.9675;481020.19;"3110-EAG-5";"CHLFa blijft gelijk in de tijd op meetlocatie NKP002.";0.894403901633725;-0.00747336977388498
"104";"NKP037";134291;478741;"3110-EAG-5";"CHLFa blijft gelijk in de tijd op meetlocatie NKP037.";0.708027147373052;0.0275538278843655
"105";"NLP001";118149;473060;"2130-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie NLP001.";0.0121292860054105;0.139033768392166
"106";"NRZ001";132019;482775;"3010-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie NRZ001.";0.344941250784283;0.129708248357137
"107";"NWS001";116414;484451;"8090-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie NWS001.";6.36329222806998e-08;-0.336640477425696
"108";"NWS002";114782;484391;"8090-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie NWS002.";0.000120337504619647;-0.279876964523688
"109";"OBL012";114562;488548;"8030-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie OBL012.";0.811255951759191;-0.0133698647881021
"110";"OBL021";114190.5448;487807.5604;"8030-EAG-5";"CHLFa blijft gelijk in de tijd op meetlocatie OBL021.";0.887658095542572;-0.00774478223667984
"111";"OBP003";119411;488792;"8020-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie OBP003.";0.178494588166349;-0.0852092104328226
"112";"OBT001";136518;465784;"3302-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie OBT001.";2.66273000912893e-05;-0.246607594132718
"113";"OBT006";135140;464797;"3302-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie OBT006.";0.137927474796266;-0.0844581561577006
"114";"OBT007";134839;464641;"3304-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie OBT007.";0.0516684206560877;-0.150453609489805
"115";"OBT009";137168;465754;"3302-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie OBT009.";0.973211976774084;-0.00492616814528417
"116";"OBT010";135015;464847;"3302-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie OBT010.";0.0263580211567709;0.307449354964551
"117";"ODP001";127815;483686;"2300-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie ODP001.";0.717304539757212;0.0199204349711824
"118";"OSB007";112254;487236;"8040-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie OSB007.";0.398697693769134;0.0479641241171338
"119";"OTP002";123379;486035;"2040-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie OTP002.";0.511049701938716;0.04111129674944
"120";"PAH008";134723.8894;459028.8569;"3370-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie PAH008.";0.898290749237173;0.00700684500104694
