OBJECTID;GAFIDENT;OSMOMSCH;DGVIDENT;JAARCREA;OPPERVL;OMTREK;DGVTYPE;OPP_EZ_M2;OPP_OW_M2;OPP_TOT_M2;IWS_MEMO;SHAPE_AREA;SHAPE_LEN
3315;2630-EAG-3;Westveen;2630-DGV-4;0;168779;0;1013;31879;136900;168779;;0.00000000000;0.00000000000
3316;2120-EAG-1;Vaarten Westeramstel;2120-DGV-8;0;94452;0;1013;6891;87561;94452;;0.00000000000;0.00000000000
3318;3300-EAG-14;Ster en Zodden;3300-DGV-38;0;32463;0;1013;2371;30092;32463;;0.00000000000;0.00000000000
3314;3360-EAG-18;;3360-DGV-28;0;66453;0;1013;9766;56687;66453;;0.00000000000;0.00000000000
3317;3300-EAG-13;Ster en Zodden;3300-DGV-39;0;95590;0;1013;17144;78446;95590;;0.00000000000;0.00000000000
3319;3300-EAG-15;Ster en Zodden;3300-DGV-37;0;240213;0;1013;49647;190566;240213;;0.00000000000;0.00000000000
3320;3360-EAG-19;Molenpolder Tienhoven;3360-DGV-26;0;66045;0;1013;8144;57901;66045;;0.00000000000;0.00000000000
3321;3302-EAG-1;Molenpolder Tienhoven;3302-DGV-11;0;42718;0;1013;6566;30925;37491;;0.00000000000;0.00000000000
3323;3300-EAG-9;Ster en Zodden;3300-DGV-40;0;309120;0;1013;36178;272942;309120;;0.00000000000;0.00000000000
3322;3302-EAG-2;Molenpolder Tienhoven;3302-DGV-10;0;113459;0;1013;9801;103658;113459;;0.00000000000;0.00000000000
3327;3230-EAG-5;Kortenhoefse Plas;3230-DGV-15;0;23873;0;1012;7211;16662;23873;;0.00000000000;0.00000000000
3325;3230-EAG-1;Kortenhoefse Plas;3230-DGV-3;0;40668;0;1012;12696;27972;40668;;0.00000000000;0.00000000000
3326;3230-EAG-3;Kortenhoefse Plas;3230-DGV-11;0;107820;0;1012;19308;88512;107820;;0.00000000000;0.00000000000
3324;3201-EAG-2;Stichtsch Ankeveensche Plas;3201-DGV-6;0;24192;0;1012;6029;18163;24192;;0.00000000000;0.00000000000
3330;4210-EAG-2;Hollandsch Ankeveensche Plas;4210-DGV-3;0;35891;0;1011;8627;27264;35891;;0.00000000000;0.00000000000
3329;4210-EAG-5;Hollandsch Ankeveensche Plas;4210-DGV-9;0;3324;0;1011;2161;1163;3324;;0.00000000000;0.00000000000
3328;4210-EAG-3;Hollandsch Ankeveensche Plas;4210-DGV-6;0;34179;0;1011;19719;14460;34179;;0.00000000000;0.00000000000
3332;2140-EAG-3;;2140-DGV-5;0;9944;0;1011;6575;3369;9944;;0.00000000000;0.00000000000
3336;3230-EAG-1;Kortenhoefse Plas;3230-DGV-2;0;192923;0;1011;103578;89345;192923;;0.00000000000;0.00000000000
3334;3360-EAG-16;Molenpolder;3360-DGV-12;0;64949;0;1011;26390;38559;64949;;0.00000000000;0.00000000000
3340;3320-EAG-2;Terra Nova;3320-DGV-7;0;11912;0;1011;9661;2251;11912;;0.00000000000;0.00000000000
3338;3230-EAG-5;Kortenhoefse Plas;3230-DGV-14;0;47122;0;1011;29440;17682;47122;;0.00000000000;0.00000000000
3337;3230-EAG-3;Kortenhoefse Plas;3230-DGV-10;0;165093;0;1011;93409;71684;165093;;0.00000000000;0.00000000000
3335;3360-EAG-17;Molenpolder Tienhoven;3360-DGV-14;0;161093;0;1011;120683;40410;161093;;0.00000000000;0.00000000000
3339;3320-EAG-1;Terra Nova;3320-DGV-4;0;9651;0;1011;7600;2051;9651;;0.00000000000;0.00000000000
3333;3360-EAG-14;Molenpolder;3360-DGV-9;0;17463;0;1011;14076;3387;17463;;0.00000000000;0.00000000000
3409;3230-EAG-3;Kortenhoefse Plas;3230-DGV-9;0;41782;0;1009;41782;0;41782;;0.00000000000;0.00000000000
3382;3360-EAG-17;Molenpolder Tienhoven;3360-DGV-15;0;62129;0;1009;62129;0;62129;;0.00000000000;0.00000000000
3347;3201-EAG-2;Stichtsch Ankeveensche Plas;3201-DGV-5;0;6851;0;1011;5854;997;6851;;0.00000000000;0.00000000000
3345;3100-EAG-5;Naardermeer;3100-DGV-14;0;27793;0;1011;13091;14702;27793;;0.00000000000;0.00000000000
3344;3100-EAG-4;Naardermeer;3100-DGV-11;0;42524;0;1011;21706;20818;42524;;0.00000000000;0.00000000000
3342;3100-EAG-2;Naardermeer;3100-DGV-5;0;17250;0;1011;10471;6779;17250;;0.00000000000;0.00000000000
3346;3201-EAG-1;Stichtsch Ankeveensche Plas;3201-DGV-2;0;83595;0;1011;26398;57197;83595;;0.00000000000;0.00000000000
3343;3100-EAG-3;Naardermeer;3100-DGV-8;0;58369;0;1011;26155;32214;58369;;0.00000000000;0.00000000000
3341;3100-EAG-1;Naardermeer;3100-DGV-2;0;110548;0;1011;39514;71034;110548;;0.00000000000;0.00000000000
3348;2140-EAG-3;;2140-DGV-7;0;122685;0;1010;0;122685;122685;;0.00000000000;0.00000000000
3350;3300-EAG-8;Vuntus;3300-DGV-22;0;917342;0;1010;0;917342;917342;;0.00000000000;0.00000000000
3349;2600-EAG-9;Vaarten Zevenhoven;2600-DGV-12;0;783091;0;1010;0;783091;783091;;0.00000000000;0.00000000000
3352;3100-EAG-4;Naardermeer;3100-DGV-12;0;161947;0;1010;0;161947;161947;;0.00000000000;0.00000000000
3353;3100-EAG-3;Naardermeer;3100-DGV-9;0;464766;0;1010;0;464766;464766;;0.00000000000;0.00000000000
